Olet kuumana kesäpäivänä lennolla, huomaat, että sylinterinpään lämpötila lähestyy maksimia, tällöim?::2:lisään ilmanopeutta loiventamalla nousua:vähennän kaasua:vähennän ilmanopeutta:laihennan lisää::1 0 0 0::
Matkalennolla potkurinsäätövivulla voi säätää::2:potkurin kierroslukua:potkurin lapakulmia:porkurin kehänopeutta:kuvernöörin öljynpainetta::1 0 0 0::
"Heti käynnistämisen jälkeen tulisi tarkastaa käynnistimen (starter) varoitusvalo. Jos se palaa edelleen, tulee:"::2:Sammuttaa moottori välittömästi.:Seurata tilannetta 30 sekuntia ja sammuttaa moottori sen jälkeen, mikäli valo ei sammu.:"Sammuttaa moottori, laskea 30:een ja käynnistää moottori uudelleen":Ei tarvitse tehdä mitään. Käynnistimen varoitusvalo palaa aina, kun moottori on käynnissä::1 0 0 0::
"Mikäli kylmää moottoria käynnistettäessä öljynpainemittari ei näytä nousua 30 sekunnin kuluessa käynnistyksestä, on:"::2:Moottori sammutettava välittömästi.:"Voidaan jättää huomioimatta, mikäli öljyn määrä 
oli riittävä konetta tarkastettaessa ennen käynnistystä.":Moottorin kierroslukua tulee lisätä, minkä jälkeen öljynpaine tulee tarkastaa uudelleen.:"Voidaan jättää huomioimatta jos öljy on kuumaa ja
öljyn määrä oli riittävä konettatarkastettaessa ennen käynnistystä."::1 0 0 0::
"Kaarrettaessa lennolla kohti pohjoista, kompassi:	pyrkii"::2:pyrkii jäämään jälkeen:Menee edelle:kaartovirhettä ei synny:kaartovirhe syntyy vain lennettäsee epäpuhtaasti::1 0 0 0::
Mikä mittari mittaa Kokonaispaineen ja staattisen  paineen erotusta?::2:Nopeusmittari:Pystynopeusmittari:Korkeusmittari:Suuntahyrrä::1 0 0 0::
Korkeusmittari mittaa::2:ilman staattista painetta korkeudeksi kalibroituna:korkeutta maan pinnasta:korkeutta meren pinnasta:ilman patopainetta korkeudeksi kalibroituna::1 0 0 0::
"Mihin kohtaan moottoria on asennettu öljyn lämpötila-anturi, joka on kytketty 
ohjaamossa sijaitsevaan öljynlämpömittariin?"::2:Juuri ennen öljyn kulkeutumista öljynjäähdyttimeen.:Paikkaan, jossa öljy poistuu öljysäiliöstä.:Moottorin kuumien osien sisälle.:Öljynjäähdyttimen jälkeen, ennen kuin öljy kulkeutuu moottorin kuumiin osiin.::1 0 0 0::
Missä olosuhteissa potkurin kiertovaikutus on suurimmillaan yksimoottorisessa lentokoneessa?::2:Pienellä ilmanopeudella, suurella teholla ja suurella kohtauskulmalla.:Suurella ilmanopeudella, pienellä teholla ja suurella kohtauskulmalla.:Suurella ilmanopeudella, suurella teholla ja suurella kohtauskulmalla.:Pienellä ilmanopeudella, pienellä teholla ja pienellä kohtauskulmalla.::1 0 0 0::
Variometri alkaa näyttämään oikeata lukemaa::2:6-8 sekunnin viiveen jälkeen:heti pystynopeuden muutoksen jälkeen:30 sekunnin viiveen jälkeen:minuutin viiveen jälkeen::1 0 0 0::
"Sähköisen lisäpolttoainepumpun oikea toiminta voidaan tarkistaa:"::2:Polttoainepainemittarin reagoinnista.:Katsomalla, että polttoainetta tippuu huohotinputkesta.:Amppeerimittarista.:Kuuntelemalla sen ominaista ääntä.::1 0 0 0::
"Mikä tarkoitus on joihinkin yleisilmailukoneisiin asennetulla sähköisellä 
polttoaineen lisäpumpulla?"::2:Lisäpolttoaineen toimittaminen kaasuttimelle käynnistyksen yhteydessä, sekä mekaanisen pumpun rikkoutuessa.:Moottorin hyötysuhteen parantaminen.:Polttoainetankkien nopeaa tyhjennystä varten.:Polttoaineen toimitus sylintereihin ennen sytytystä.::1 0 0 0::
"Mitä tärkeää nopeutta ei ole merkitty värikoodilla lentokoneen 
ilmanopeusmittariin?"::2:Liikehtimisnopeutta (VA):Maksiminopeutta (VNE).:Suurinta nopeutta laskusiivekkeet alhaalla (VFE).:Suurinta rakenteellista matkalentonopeutta (VMO::1 0 0 0::
Miten käy tosikorkeuden jos lennetään matalapaineesta kohti korkeapainetta?::2:kasvaa:pienenee:pysyy samana:muuttuu vain jos kohdataan inversio::1 0 0 0::
"Mitä korkeusmittari näyttää, mikäli lentäjä unohtaa asettaa QNH:n 
korkeusmittariin liu'un aikana lentopinnoilta, ja jatkaa lentoaan 
standardiasetuksella?"::2:korkeutta painepinnan 1013,2 hPa suhteen.:Lentokentän korkeutta.:Korkeusmittarin näyttö on käyttökelvoton.:Nollaa::1 0 0 0::
"Cessnan yleisilmailukoneiden yleisin laskulaippa on:?"::2:Fowler laippa:Levylaippa:Perusmallinen:Solakko::1 0 0 0::
Mikä on puristussuhde?::2:puristustilavuuden ja iskutilavuuden summan suhde puristustilavuuteen:millä voimalla lentokoneen rungon niittaus on tehty:sylinterissa vallitseva paine puristustahdin lopussa:sylinteriin imutahdin aikana virtaavan kaasuseoksen määrän ja iskutilavuuden välinen suhde::1 0 0 0::
Milloin esiintyy nakutusta?::2:liian suuri ahtopaine verrattuna pyörimisnopeuteen:jos on vahingossa tankattu JET A-1 100LL sijaan:liian rikas seossuhde:liian korkea oktaaniarvo bensiinissä::1 0 0 0::
"Trapetsisiiven kärkijänteen pituus:"::2:on pienempi kuin tyvijänteen pituus:on suurempi kuin tyvijänteen pituus:on sama kuin tyvijänteen pituus:ei vaikuta tyvijänteen pituuteen::1 0 0 0::
"Kaarto- ja luisumittarin ""viiksi"" osoittaa:"::2:kaartonopeutta:luistoa:suunnan muuttumista:kallistusta::1 0 0 0::
"Mikäli sulake palaa lennon aikana:"::2:Se voidaan vaihtaa ainoastaan kerran lennon aikana samanarvoisella sulakkeella.:Sen tilalle voi vaihtaa korkeampaa virtaa kestävän sulakkeen uudelleenpalamisen ehkäisemiseksi.:Se voidaan vaihtaa niin usein, kuin on tarve.:Sitä ei pitäisi vaihtaa ennen laskeutumista.::1 0 0 0::
Mikä seuraavista rakenteista on primäärirakenne?::2:Siipisalko:Tuulilasi:Tarkastusluukku:Siipikaari::1 0 0 0::
Olet tasaisessa vaakalennossa, et koske kaasuvipuun ja vedät koneen nousuun. Mitä tapahtuu potkurin kohtauskulmalle?::2:Suurenee:Muuttuu käänteiseksi:Pysyy samana:Pienenee::1 0 0 0::
Koekäytön yhteydessä, oikeanpuoleinen magneetto valittuna, havaitset moottorin käyvän karkeasti ja epäilet sen sammuvan. Mitä sinun tulisi tehdä?::2:Annat moottorin sammua kokonaan ja keskeytät lennon, vika on tutkittava ennen seuraavaa lentoa.:Vaihdat nopeasti molemmat magneetot käyttöön.:Vaihdat nopeasti vasemmanpuoleiselle magneetolle.:Vaihdat nopeasti molemmat magneetot käyttöön.::1 0 0 0::
Korkeusperäsin trimmijärjestelmän tehtävänä on::2:poistaa ohjainvoimat ja helpottaa lentämistä:poistaa ohjaimet:lisätä ohjaamisessa tarvittavia voimia:koneissa ei ole korkeusperäsintrimmiä::1 0 0 0::
Mikä on tyypillisen yleisilmailukoneen sähköjärjestelmän jännite?::2:14V:12V:24V:16V::1 0 0 0::
"Yleisin tapa sammuttaa kaasutinkäyttöinen lentomoottori on:"::2:Säätää seosvipu täysin laihalle.:Säätää kaasuvipu tyhjäkäynnille.:Säätää kaasuvipu tyhjäkäynnille ja seosvipu täysin laihalle.:Kääntää käynnistyskytkin OFF-asentoon::1 0 0 0::
"Olet kiitotiellä  09, teet lentoonlähdön, tällöin kompassi näyttä:"::2:liian pieniä lukemia:liian suuria lukemia:samoja lukemia:käänteisiä::1 0 0 0::
Standardi ilmakehän paine?::2:29,92 InHg:1013,25 kpa:29,92 mmHg:101,325 hpa::1 0 0 0::
"Renkaan ryömiminen (tyre creep) voidaan tunnistaa:"::2:Renkaan kylkeen ja vanteeseen maalatusta kohdistusviivasta.:Kahdesta vastakkaisilla puolilla toisiaan olevista keltaisista nuolista renkaan kyljessä:Tarkastamalla rengaspaine.:Kahdesta valkoisesta neliöstä, jotka ovat piirretty vanteeseen.::1 0 0 0::
Venturiputken kurkussa ilman nopeus _____, staattinen tai vallitseva paine _____ ja lämpötila _____.::2:Kasvaa/pienenee/pienenee:Kasvaa/kasvaa/kasvaa:Pienenee/pienenee/kasvaa:Pienenee/kasvaa/pienenee::1 0 0 0::
Mikä on tärinänvaimentimen tehtävä laskutelineessä?::2:Estää nokkapyörän värähtelyitä.:Vähentää iskuja polkimissa.:Vaimentaa pomppuja.:Vähentää jousimännän liikkumismatkaa.::1 0 0 0::
Minkä väristä on AVGAS 100 LL::2:sinistä:punaista:keltaista:väritöntä::1 0 0 0::
"Kuvan keinohorisontti osoittaa koneen olevan
